date,open,high,low,close

11/07/2018,6303.69,6400,6281.01,6390.04

12/07/2018,6390.04,6390.04,6075.01,6249.75

13/07/2018,6246.68,6335.09,6121.53,6216.29

14/07/2018,6216.29,6323.68,6187,6248.65

15/07/2018,6248.65,6385.35,6233.26,6348.73

16/07/2018,6348.73,6750,6330.3,6728.81

17/07/2018,6728.8,7472.5,6663.51,7315.01

18/07/2018,7315,7584.85,7229.89,7378.99

19/07/2018,7378.99,7581,7281.42,7470.01

20/07/2018,7470.01,7687,7259.76,7334.46

21/07/2018,7334.46,7444.77,7204.32,7408

22/07/2018,7408,7569.69,7327.75,7397.8

23/07/2018,7400,7809,7378.26,7720.09

24/07/2018,7720.08,8488,7695.99,8385.5

25/07/2018,8390.04,8482.84,8042,8157.15

26/07/2018,8157.15,8290,7840,7931.99

27/07/2018,7932,8276.55,7787.29,8184.21

28/07/2018,8182.64,8230,8065,8228.9

29/07/2018,8227.38,8289.96,8127.87,8216.34

30/07/2018,8216.33,8274.92,7850,8170.01

31/07/2018,8170,8173.57,7629.48,7727.27

01/08/2018,7727.28,7750,7437,7603.99

02/08/2018,7603.99,7707.54,7462,7533.92

03/08/2018,7533.92,7538.53,7285,7414.08

04/08/2018,7414.08,7495,6940,7005

05/08/2018,7005,7086.52,6880,7030.01

06/08/2018,7030,7163,6840,6938

07/08/2018,6938,7152,6647.07,6718.22

08/08/2018,6718.22,6718.22,6121.04,6282.5

09/08/2018,6282.5,6633.21,6177.51,6546.45

10/08/2018,6546.46,6584.8,6015,6146.01

11/08/2018,6146.01,6485.76,6003,6235.56

12/08/2018,6236,6482,6169.46,6316.01

13/08/2018,6316,6544.99,6139.57,6253.67

14/08/2018,6253.67,6258.32,5900,6195.01

15/08/2018,6195,6636,6189,6269.01

16/08/2018,6269.01,6475.01,6200,6315.9

17/08/2018,6315.9,6585.5,6290.39,6585.49

18/08/2018,6585.5,6613.23,6312,6396.64

19/08/2018,6396.63,6547.34,6328.45,6489.53

20/08/2018,6489.53,6525,6227.71,6258.74

21/08/2018,6258.74,6490,6249.12,6475.89

22/08/2018,6475.89,6890.65,6250,6359.99

23/08/2018,6359.99,6568.37,6348.69,6526.36

24/08/2018,6526.36,6725,6451.55,6690.88

25/08/2018,6690.88,6790,6668,6737.52

26/08/2018,6737.52,6773,6572,6709.98

27/08/2018,6709.98,6947.6,6654.13,6911.9

28/08/2018,6911.9,7128,6864.96,7071.01

29/08/2018,7071.01,7119,6907.42,7030.9

30/08/2018,7030.92,7048.66,6790,6983

31/08/2018,6983,7090.46,6884.49,7015.01

01/09/2018,7015.01,7275,7010.98,7191.08

02/09/2018,7191.07,7328.99,7130,7295

03/09/2018,7294.99,7339.52,7192.99,7256.98

04/09/2018,7256.48,7402.5,7229.94,7360

05/09/2018,7359.99,7384,6664.07,6687.96

06/09/2018,6687.96,6703.73,6272.73,6495

07/09/2018,6495,6530,6325,6395.01

08/09/2018,6395.01,6460,6116,6188

09/09/2018,6188,6450,6147,6235.01

10/09/2018,6235.02,6375.13,6221.49,6300

11/09/2018,6300,6405,6176.76,6282.53

12/09/2018,6282.53,6340.94,6191.1,6326

13/09/2018,6326,6530,6323.64,6485.99

14/09/2018,6485.99,6580,6378.05,6478.04

15/09/2018,6478.05,6565,6470,6518.68

16/09/2018,6518.68,6521.75,6323.68,6498

17/09/2018,6498,6529.75,6207.55,6250.7

18/09/2018,6250.71,6384.04,6228,6335.7

19/09/2018,6335.69,6511,6106.37,6386.94

20/09/2018,6386.95,6530,6337,6493.11

21/09/2018,6493.11,6777.1,6492.5,6750

22/09/2018,6750,6823,6628.01,6707.33

23/09/2018,6707.34,6777,6660.05,6696.99

24/09/2018,6696.99,6716.16,6555.99,6582.09

25/09/2018,6582.09,6582.1,6320.5,6436.89

26/09/2018,6435,6537.26,6380.62,6455.66

27/09/2018,6455.65,6734.79,6430,6680.01

28/09/2018,6680.01,6786.73,6528.13,6620.01

29/09/2018,6620.01,6620.01,6452.02,6581

30/09/2018,6581,6642.28,6523,6605

01/10/2018,6605,6639.33,6474.9,6572.83

02/10/2018,6572.83,6591.37,6452,6498.46

03/10/2018,6498.47,6507.95,6398.96,6466.03

04/10/2018,6466.03,6603.01,6454.38,6547.45

05/10/2018,6547.45,6641,6510.58,6593.94

06/10/2018,6593.94,6594.39,6536,6552.43

07/10/2018,6552.42,6585.01,6491.81,6570

08/10/2018,6569.99,6681.19,6545.63,6608.07

09/10/2018,6607.53,6612.86,6552.5,6589.48

10/10/2018,6589.48,6591.32,6445.48,6524.56

11/10/2018,6524.56,6524.56,6033.34,6154.69

12/10/2018,6154.68,6235.2,6111.97,6188.01

13/10/2018,6188.01,6212,6178,6196

14/10/2018,6196.01,6288.45,6151,6183.49

15/10/2018,6183.52,6810,6151.58,6440.42

16/10/2018,6440.43,6493.11,6375,6457.11

17/10/2018,6457.1,6459.99,6411.19,6443.7

18/10/2018,6443.69,6489.83,6355,6394.96

19/10/2018,6394.96,6409.61,6353.86,6382.99

20/10/2018,6382.99,6420,6369,6414

21/10/2018,6413.99,6452.87,6405.57,6415.88

22/10/2018,6415.87,6427.63,6377.77,6407.65

23/10/2018,6407.64,6411.5,6360,6395.14

24/10/2018,6395.13,6471,6395.13,6415.98

